nt,rvpnot,tlm,metric,miner
0.33333471923265307,0.33334132680143463,0.33331581338806593,fitness,ilp
0.06716487231221892,-0.12274362831413667,0.21620957191928789,precision,ilp
0.0947822408737656,-0.08120908469523543,0.23694231729751433,fscore,ilp
27.708333333333332,11.083333333333332,23.40833333333333,size,ilp
8.291666666666666,3.0416666666666665,11.041666666666666,cfc,ilp
9.041666666666668,2.9166666666666674,8.674999999999999,pnsize,ilp
0.9500000000000001,0.8362499999999999,-0.5798333333333334,exectime,ilp
29.148749999999996,26.59125,-9.514,benchtime,ilp
0.33329525726960824,0.3332938571815473,0.33328538460362844,fitness,inductive
0.05967662527531223,-0.0006480499159656726,0.26139827676521604,precision,inductive
0.06940567567401473,0.04845391809861534,0.3226009780909838,fscore,inductive
7.833333333333334,13.421296296296296,16.34722222222222,size,inductive
1.3749999999999998,5.824074074074074,9.222222222222223,cfc,inductive
2.0416666666666665,8.782407407407407,12.388888888888888,pnsize,inductive
0.27083333333333337,0.1851388888888889,-0.16125,exectime,inductive
3.971666666666666,28.85972222222222,-3.889166666666667,benchtime,inductive
0.3173447692973337,0.28359476929733374,0.2665604614053326,fitness,sm1
0.28961339837069616,-0.016636601629303905,0.30452320325860777,precision,sm1
0.31623662181806383,0.0787366218180638,0.28502675636387237,fscore,sm1
8.208333333333334,23.958333333333332,13.333333333333336,size,sm1
4.583333333333333,12.333333333333332,7.333333333333334,cfc,sm1
4.458333333333334,16.208333333333336,7.333333333333333,pnsize,sm1
2.0149999999999997,1.86375,3.1424999999999996,exectime,sm1
-6.118333333333334,77.89666666666668,2.197916666666668,benchtime,sm1
